Version,File Name,LOC,LOC_touched,NR,NFix,LOC_added,MAX_LOC_added,AVG_LOC_added,Churn,MAX_Churn,AVG_Churn,ChgSetSize,MAX_ChgSet,AVG_ChgSize,Buggy
1,bookkeeper-benchmark\src\main\java\org\apache\bookkeeper\benchmark\MySqlClient.java,138,166,4,0,68,67,17,36,36,9,485,211,121,No
1,bookkeeper-benchmark\src\main\java\org\apache\bookkeeper\benchmark\TestClient.java,245,100,5,0,4,3,0,4,3,0,503,211,100,No
1,bookkeeper-server\src\main\java\org\apache\bookkeeper\bookie\Bookie.java,1027,749,14,7,529,207,37,513,205,36,614,196,43,Yes
1,bookkeeper-server\src\main\java\org\apache\bookkeeper\bookie\BookieException.java,93,40,3,0,11,11,3,11,11,3,304,211,101,Yes
1,bookkeeper-server\src\main\java\org\apache\bookkeeper\bookie\BufferedChannel.java,181,27,4,1,12,8,3,12,8,3,313,211,78,Yes
1,bookkeeper-server\src\main\java\org\apache\bookkeeper\bookie\EntryLogger.java,472,242,9,4,80,34,8,73,28,8,608,171,67,Yes
1,bookkeeper-server\src\main\java\org\apache\bookkeeper\bookie\FileInfo.java,205,86,5,2,80,75,16,80,75,16,439,199,87,Yes
1,bookkeeper-server\src\main\java\org\apache\bookkeeper\bookie\LedgerCache.java,552,94,7,2,24,19,3,18,19,2,504,211,72,Yes
1,bookkeeper-server\src\main\java\org\apache\bookkeeper\bookie\LedgerDescriptor.java,150,35,5,0,16,15,3,16,15,3,478,211,95,Yes
1,bookkeeper-server\src\main\java\org\apache\bookkeeper\bookie\LedgerEntryPage.java,158,13,3,0,6,6,2,6,6,2,384,211,128,No
1,bookkeeper-server\src\main\java\org\apache\bookkeeper\bookie\MarkerFileChannel.java,148,0,1,0,0,0,0,0,0,0,0,0,0,No
1,bookkeeper-server\src\main\java\org\apache\bookkeeper\client\AsyncCallback.java,138,230,5,0,98,75,19,86,75,17,488,201,97,No
1,bookkeeper-server\src\main\java\org\apache\bookkeeper\client\BKException.java,272,31,4,0,22,12,5,22,12,5,323,211,80,Yes
1,bookkeeper-server\src\main\java\org\apache\bookkeeper\client\BookieWatcher.java,206,8,4,0,1,1,0,1,1,0,400,196,100,No
1,bookkeeper-server\src\main\java\org\apache\bookkeeper\client\BookKeeper.java,549,997,9,1,505,307,56,376,234,41,621,198,69,Yes
1,bookkeeper-server\src\main\java\org\apache\bookkeeper\client\BookKeeperAdmin.java,729,371,6,1,168,117,28,109,109,18,311,100,51,Yes
1,bookkeeper-server\src\main\java\org\apache\bookkeeper\client\CRC32DigestManager.java,51,3,2,0,0,0,0,0,0,0,211,211,105,No
1,bookkeeper-server\src\main\java\org\apache\bookkeeper\client\DigestManager.java,186,23,5,0,1,1,0,1,1,0,435,197,87,Yes
1,bookkeeper-server\src\main\java\org\apache\bookkeeper\client\DistributionSchedule.java,62,5,3,0,0,0,0,0,0,0,252,211,84,Yes
1,bookkeeper-server\src\main\java\org\apache\bookkeeper\client\LedgerCreateOp.java,158,57,8,2,4,2,0,0,1,0,562,211,70,Yes
1,bookkeeper-server\src\main\java\org\apache\bookkeeper\client\LedgerDeleteOp.java,82,13,4,0,2,1,0,1,1,0,468,211,117,Yes
1,bookkeeper-server\src\main\java\org\apache\bookkeeper\client\LedgerEntry.java,85,79,3,0,30,29,10,29,28,9,361,211,120,No
1,bookkeeper-server\src\main\java\org\apache\bookkeeper\client\LedgerHandle.java,763,1373,12,6,673,404,56,588,325,49,640,197,53,Yes
