Dataset,#Training release,%traning,%Defective in training,%Defective in testing,Classifier,Balancing,Feature Selection,Sensitivity,TP,FP,TN,FN,Precision,Recall,AUC,Kappa
BOOKKEEPER,1,55.55555555555556,47.159090909090914,29.09090909090909,RANDOMFOREST,NOBALANCING,NOSELECTION,NOSENSITIVE,55.0,52.0,104.0,9.0,0.514018691588785,0.859375,0.8643830128205128,0.4390570138772782,
BOOKKEEPER,1,55.55555555555556,47.159090909090914,29.09090909090909,RANDOMFOREST,NOBALANCING,NOSELECTION,THRESHOLD,117.0,148.0,164.0,11.0,0.44150943396226416,0.9140625,0.7298928285256411,0.3342215454891511,
BOOKKEEPER,1,55.55555555555556,47.159090909090914,29.09090909090909,RANDOMFOREST,NOBALANCING,NOSELECTION,LEARNING,180.0,258.0,210.0,12.0,0.410958904109589,0.9375,0.7438067574786325,0.28031404478045946,
BOOKKEEPER,1,91.66666666666666,50.0,29.09090909090909,RANDOMFOREST,OVERSAMPLING,NOSELECTION,NOSENSITIVE,50.0,59.0,97.0,14.0,0.45871559633027525,0.78125,0.7934194711538461,0.333831093412975,
BOOKKEEPER,1,91.66666666666666,50.0,29.09090909090909,RANDOMFOREST,OVERSAMPLING,NOSELECTION,THRESHOLD,113.0,184.0,128.0,15.0,0.38047138047138046,0.8828125,0.6420272435897436,0.21094369547977793,
BOOKKEEPER,1,91.66666666666666,50.0,29.09090909090909,RANDOMFOREST,OVERSAMPLING,NOSELECTION,LEARNING,177.0,340.0,128.0,15.0,0.34235976789168276,0.921875,0.610588051994302,0.13032827045565895,
BOOKKEEPER,1,56.994818652849744,50.0,29.09090909090909,RANDOMFOREST,UNDERSAMPLING,NOSELECTION,NOSENSITIVE,55.0,49.0,107.0,9.0,0.5288461538461539,0.859375,0.8642828525641025,0.4604194857916102,
BOOKKEEPER,1,56.994818652849744,50.0,29.09090909090909,RANDOMFOREST,UNDERSAMPLING,NOSELECTION,THRESHOLD,118.0,155.0,157.0,10.0,0.43223443223443225,0.921875,0.7161458333333334,0.3186425407312861,
BOOKKEEPER,1,56.994818652849744,50.0,29.09090909090909,RANDOMFOREST,UNDERSAMPLING,NOSELECTION,LEARNING,181.0,277.0,191.0,11.0,0.3951965065502183,0.9427083333333334,0.7256944444444444,0.2490755665118042,
BOOKKEEPER,1,54.187192118226605,50.0,29.09090909090909,RANDOMFOREST,SMOTE,NOSELECTION,NOSENSITIVE,56.0,47.0,109.0,8.0,0.5436893203883495,0.875,0.8566706730769231,0.48633044659534724,
BOOKKEEPER,1,54.187192118226605,50.0,29.09090909090909,RANDOMFOREST,SMOTE,NOSELECTION,THRESHOLD,119.0,143.0,169.0,9.0,0.4541984732824427,0.9296875,0.7348758012820513,0.36017143731823054,
BOOKKEEPER,1,54.187192118226605,50.0,29.09090909090909,RANDOMFOREST,SMOTE,NOSELECTION,LEARNING,182.0,255.0,213.0,10.0,0.41647597254004576,0.9479166666666666,0.7466001157407407,0.29285333074571834,
BOOKKEEPER,1,55.55555555555556,47.159090909090914,29.09090909090909,RANDOMFOREST,NOBALANCING,BESTFIRST,NOSENSITIVE,47.0,35.0,121.0,17.0,0.573170731707317,0.734375,0.8388922275641025,0.4709581945985943,
BOOKKEEPER,1,55.55555555555556,47.159090909090914,29.09090909090909,RANDOMFOREST,NOBALANCING,BESTFIRST,THRESHOLD,109.0,137.0,175.0,19.0,0.44308943089430897,0.8515625,0.7242212540064102,0.32430303984879516,
BOOKKEEPER,1,55.55555555555556,47.159090909090914,29.09090909090909,RANDOMFOREST,NOBALANCING,BESTFIRST,LEARNING,172.0,248.0,220.0,20.0,0.4095238095238095,0.8958333333333334,0.7390602742165242,0.2710187932739862,
