@relation BOOKKEEPER_dataset-weka.filters.unsupervised.attribute.Remove-R2

@attribute Version numeric
@attribute LOC numeric
@attribute LOC_touched numeric
@attribute NR numeric
@attribute NFix numeric
@attribute LOC_added numeric
@attribute MAX_LOC_added numeric
@attribute AVG_LOC_added numeric
@attribute Churn numeric
@attribute MAX_Churn numeric
@attribute AVG_Churn numeric
@attribute ChgSetSize numeric
@attribute MAX_ChgSet numeric
@attribute AVG_ChgSize numeric
@attribute Buggy {Yes,No}

@data
1,138,166,4,0,68,67,17,36,36,9,485,211,121,No
1,245,100,5,0,4,3,0,4,3,0,503,211,100,No
1,1027,749,14,7,529,207,37,513,205,36,614,196,43,Yes
1,93,40,3,0,11,11,3,11,11,3,304,211,101,Yes
1,181,27,4,1,12,8,3,12,8,3,313,211,78,Yes
1,472,242,9,4,80,34,8,73,28,8,608,171,67,Yes
1,205,86,5,2,80,75,16,80,75,16,439,199,87,Yes
1,552,94,7,2,24,19,3,18,19,2,504,211,72,Yes
1,150,35,5,0,16,15,3,16,15,3,478,211,95,Yes
1,158,13,3,0,6,6,2,6,6,2,384,211,128,No
1,148,0,1,0,0,0,0,0,0,0,0,0,0,No
1,138,230,5,0,98,75,19,86,75,17,488,201,97,No
1,272,31,4,0,22,12,5,22,12,5,323,211,80,Yes
1,206,8,4,0,1,1,0,1,1,0,400,196,100,No
1,549,997,9,1,505,307,56,376,234,41,621,198,69,Yes
1,729,371,6,1,168,117,28,109,109,18,311,100,51,Yes
1,51,3,2,0,0,0,0,0,0,0,211,211,105,No
1,186,23,5,0,1,1,0,1,1,0,435,197,87,Yes
1,62,5,3,0,0,0,0,0,0,0,252,211,84,Yes
1,158,57,8,2,4,2,0,0,1,0,562,211,70,Yes
1,82,13,4,0,2,1,0,1,1,0,468,211,117,Yes
1,85,79,3,0,30,29,10,29,28,9,361,211,120,No
1,763,1373,12,6,673,404,56,588,325,49,640,197,53,Yes
1,249,96,7,2,56,28,8,56,28,8,544,211,77,Yes
1,170,96,9,2,33,18,3,31,18,3,597,198,66,Yes
1,197,47,6,3,19,9,3,19,9,3,452,198,75,Yes
1,68,9,4,0,0,0,0,0,0,0,267,211,66,No
1,166,44,4,0,27,26,6,27,26,6,404,211,101,Yes
1,174,23,4,3,3,2,0,3,2,0,404,211,101,Yes
1,104,32,6,4,8,4,1,2,3,0,406,198,67,Yes
1,79,0,1,0,0,0,0,0,0,0,0,0,0,No
1,88,1,2,0,0,0,0,0,0,0,211,211,105,Yes
1,86,1,2,0,0,0,0,0,0,0,211,211,105,No
1,106,45,2,0,44,44,22,44,44,22,52,52,26,Yes
1,217,8,4,1,0,0,0,0,0,0,93,71,23,Yes
1,378,20,4,3,0,0,0,0,0,0,93,71,23,Yes
1,254,4,2,0,2,2,1,2,2,1,19,19,9,Yes
1,194,0,1,1,0,0,0,0,0,0,0,0,0,Yes
1,515,0,1,1,0,0,0,0,0,0,0,0,0,Yes
