Dataset,#Training release,%traning,%Defective in training,%Defective in testing,Classifier,Balancing,Feature Selection,Sensitivity,TP,FP,TN,FN,Precision,Recall,AUC,Kappa
ZOOKEEPER,1,50.0,26.923076923076923,12.82051282051282,RANDOMFOREST,NOBALANCING,NOSELECTION,NOSENSITIVE,20.0,22.0,114.0,0.0,0.47619047619047616,1.0,0.9141544117647059,0.5705705705705704,
ZOOKEEPER,1,50.0,26.923076923076923,12.82051282051282,RANDOMFOREST,NOBALANCING,NOSELECTION,THRESHOLD,20.0,39.0,97.0,0.0,0.3389830508474576,1.0,0.8566176470588235,0.3894018466479325,
ZOOKEEPER,1,50.0,26.923076923076923,12.82051282051282,RANDOMFOREST,NOBALANCING,NOSELECTION,LEARNING,20.0,38.0,98.0,0.0,0.3448275862068966,1.0,0.9082720588235295,0.3980503655564582,
ZOOKEEPER,1,36.96682464454976,50.0,12.82051282051282,RANDOMFOREST,OVERSAMPLING,NOSELECTION,NOSENSITIVE,20.0,23.0,113.0,0.0,0.46511627906976744,1.0,0.9075367647058824,0.557474099654662,
ZOOKEEPER,1,36.96682464454976,50.0,12.82051282051282,RANDOMFOREST,OVERSAMPLING,NOSELECTION,THRESHOLD,20.0,33.0,103.0,0.0,0.37735849056603776,1.0,0.8786764705882353,0.4445403539059128,
ZOOKEEPER,1,36.96682464454976,50.0,12.82051282051282,RANDOMFOREST,OVERSAMPLING,NOSELECTION,LEARNING,20.0,48.0,88.0,0.0,0.29411764705882354,1.0,0.9060661764705882,0.31976744186046513,
ZOOKEEPER,1,65.0,50.0,12.82051282051282,RANDOMFOREST,UNDERSAMPLING,NOSELECTION,NOSENSITIVE,20.0,32.0,104.0,0.0,0.38461538461538464,1.0,0.8985294117647059,0.4545454545454544,
ZOOKEEPER,1,65.0,50.0,12.82051282051282,RANDOMFOREST,UNDERSAMPLING,NOSELECTION,THRESHOLD,20.0,58.0,78.0,0.0,0.2564102564102564,1.0,0.7867647058823529,0.2564102564102564,
ZOOKEEPER,1,65.0,50.0,12.82051282051282,RANDOMFOREST,UNDERSAMPLING,NOSELECTION,LEARNING,16.0,33.0,103.0,4.0,0.32653061224489793,0.8,0.8494485294117647,0.34438891412994077,
ZOOKEEPER,1,40.73107049608355,49.77973568281938,12.82051282051282,RANDOMFOREST,SMOTE,NOSELECTION,NOSENSITIVE,20.0,22.0,114.0,0.0,0.47619047619047616,1.0,0.9180147058823529,0.5705705705705704,
ZOOKEEPER,1,40.73107049608355,49.77973568281938,12.82051282051282,RANDOMFOREST,SMOTE,NOSELECTION,THRESHOLD,20.0,44.0,92.0,0.0,0.3125,1.0,0.8382352941176471,0.3490136570561456,
ZOOKEEPER,1,40.73107049608355,49.77973568281938,12.82051282051282,RANDOMFOREST,SMOTE,NOSELECTION,LEARNING,19.0,44.0,92.0,1.0,0.30158730158730157,0.95,0.8568014705882353,0.32681242807825095,
ZOOKEEPER,1,50.0,26.923076923076923,12.82051282051282,RANDOMFOREST,NOBALANCING,BESTFIRST,NOSENSITIVE,20.0,22.0,114.0,0.0,0.47619047619047616,1.0,0.915625,0.5705705705705704,
ZOOKEEPER,1,50.0,26.923076923076923,12.82051282051282,RANDOMFOREST,NOBALANCING,BESTFIRST,THRESHOLD,20.0,39.0,97.0,0.0,0.3389830508474576,1.0,0.8566176470588235,0.3894018466479325,
ZOOKEEPER,1,50.0,26.923076923076923,12.82051282051282,RANDOMFOREST,NOBALANCING,BESTFIRST,LEARNING,20.0,35.0,101.0,0.0,0.36363636363636365,1.0,0.8970588235294118,0.4252631578947369,
ZOOKEEPER,1,36.96682464454976,50.0,12.82051282051282,RANDOMFOREST,OVERSAMPLING,BESTFIRST,NOSENSITIVE,20.0,25.0,111.0,0.0,0.4444444444444444,1.0,0.9159926470588236,0.5323741007194246,
ZOOKEEPER,1,36.96682464454976,50.0,12.82051282051282,RANDOMFOREST,OVERSAMPLING,BESTFIRST,THRESHOLD,20.0,37.0,99.0,0.0,0.3508771929824561,1.0,0.8639705882352942,0.4069050554870529,
ZOOKEEPER,1,36.96682464454976,50.0,12.82051282051282,RANDOMFOREST,OVERSAMPLING,BESTFIRST,LEARNING,20.0,42.0,94.0,0.0,0.3225806451612903,1.0,0.8985294117647059,0.364623739332816,
ZOOKEEPER,1,65.0,50.0,12.82051282051282,RANDOMFOREST,UNDERSAMPLING,BESTFIRST,NOSENSITIVE,20.0,32.0,104.0,0.0,0.38461538461538464,1.0,0.9016544117647058,0.4545454545454544,
ZOOKEEPER,1,65.0,50.0,12.82051282051282,RANDOMFOREST,UNDERSAMPLING,BESTFIRST,THRESHOLD,20.0,63.0,73.0,0.0,0.24096385542168675,1.0,0.7683823529411765,0.2290555381236272,
ZOOKEEPER,1,65.0,50.0,12.82051282051282,RANDOMFOREST,UNDERSAMPLING,BESTFIRST,LEARNING,16.0,36.0,100.0,4.0,0.3076923076923077,0.8,0.8560661764705882,0.31818181818181823,
ZOOKEEPER,1,40.73107049608355,49.77973568281938,12.82051282051282,RANDOMFOREST,SMOTE,BESTFIRST,NOSENSITIVE,19.0,22.0,114.0,1.0,0.4634146341463415,0.95,0.9102941176470588,0.5444388014220415,
ZOOKEEPER,1,40.73107049608355,49.77973568281938,12.82051282051282,RANDOMFOREST,SMOTE,BESTFIRST,THRESHOLD,20.0,43.0,93.0,0.0,0.31746031746031744,1.0,0.8419117647058824,0.3567318757192175,
ZOOKEEPER,1,40.73107049608355,49.77973568281938,12.82051282051282,RANDOMFOREST,SMOTE,BESTFIRST,LEARNING,18.0,45.0,91.0,2.0,0.2857142857142857,0.9,0.8694852941176471,0.2968929804372842,
ZOOKEEPER,1,50.0,26.923076923076923,12.82051282051282,NAIVEBAYES,NOBALANCING,NOSELECTION,NOSENSITIVE,11.0,16.0,120.0,9.0,0.4074074074074074,0.55,0.8577205882352941,0.3761996161228408,
ZOOKEEPER,1,50.0,26.923076923076923,12.82051282051282,NAIVEBAYES,NOBALANCING,NOSELECTION,THRESHOLD,11.0,18.0,118.0,9.0,0.3793103448275862,0.55,0.7088235294117647,0.35040098704503375,
ZOOKEEPER,1,50.0,26.923076923076923,12.82051282051282,NAIVEBAYES,NOBALANCING,NOSELECTION,LEARNING,11.0,18.0,118.0,9.0,0.3793103448275862,0.55,0.8577205882352941,0.35040098704503375,
ZOOKEEPER,1,36.96682464454976,50.0,12.82051282051282,NAIVEBAYES,OVERSAMPLING,NOSELECTION,NOSENSITIVE,10.0,14.0,122.0,10.0,0.4166666666666667,0.5,0.8672794117647059,0.36585365853658536,
ZOOKEEPER,1,36.96682464454976,50.0,12.82051282051282,NAIVEBAYES,OVERSAMPLING,NOSELECTION,THRESHOLD,10.0,16.0,120.0,10.0,0.38461538461538464,0.5,0.6911764705882353,0.3389830508474578,
ZOOKEEPER,1,36.96682464454976,50.0,12.82051282051282,NAIVEBAYES,OVERSAMPLING,NOSELECTION,LEARNING,15.0,27.0,109.0,5.0,0.35714285714285715,0.75,0.856985294117647,0.37537537537537524,
ZOOKEEPER,1,65.0,50.0,12.82051282051282,NAIVEBAYES,UNDERSAMPLING,NOSELECTION,NOSENSITIVE,10.0,16.0,120.0,10.0,0.38461538461538464,0.5,0.8610294117647059,0.3389830508474578,
ZOOKEEPER,1,65.0,50.0,12.82051282051282,NAIVEBAYES,UNDERSAMPLING,NOSELECTION,THRESHOLD,10.0,17.0,119.0,10.0,0.37037037037037035,0.5,0.6875,0.32629558541266784,
