@relation ZOOKEEPER_dataset-weka.filters.unsupervised.attribute.Remove-R2

@attribute Version numeric
@attribute LOC numeric
@attribute LOC_touched numeric
@attribute NR numeric
@attribute NFix numeric
@attribute LOC_added numeric
@attribute MAX_LOC_added numeric
@attribute AVG_LOC_added numeric
@attribute Churn numeric
@attribute MAX_Churn numeric
@attribute AVG_Churn numeric
@attribute ChgSetSize numeric
@attribute MAX_ChgSet numeric
@attribute AVG_ChgSize numeric
@attribute Buggy {Yes,No}

@data
1,30,9,3,0,2,2,0,2,2,0,286,159,95,No
1,176,9,4,0,2,2,0,2,2,0,486,200,121,No
1,113,16,5,0,3,2,0,3,2,0,601,270,120,No
1,69,8,3,0,2,2,0,2,2,0,286,159,95,No
1,89,20,5,0,3,2,0,-1,2,0,693,275,138,No
1,47,8,3,0,2,2,0,2,2,0,286,159,95,No
1,29,8,3,0,2,2,0,2,2,0,286,159,95,No
1,27,8,3,0,2,2,0,2,2,0,286,159,95,No
1,30,8,3,0,2,2,0,2,2,0,286,159,95,No
1,44,9,3,0,2,2,0,2,2,0,286,159,95,No
1,35,8,3,0,2,2,0,2,2,0,286,159,95,No
1,27,8,3,0,2,2,0,2,2,0,286,159,95,No
1,54,15,4,0,7,5,1,7,5,1,549,263,137,No
1,35,9,3,0,2,2,0,2,2,0,286,159,95,No
1,45,10,3,0,2,2,0,2,2,0,286,159,95,No
1,34,8,3,0,2,2,0,2,2,0,286,159,95,No
1,46,10,3,0,2,2,0,2,2,0,286,159,95,No
1,34,8,3,0,2,2,0,2,2,0,286,159,95,No
1,39,9,3,0,2,2,0,2,2,0,286,159,95,No
1,34,8,3,0,2,2,0,2,2,0,286,159,95,No
1,118,36,4,0,23,21,5,22,20,5,549,263,137,No
1,75,8,3,0,2,2,0,2,2,0,286,159,95,No
1,37,8,3,0,2,2,0,2,2,0,286,159,95,No
1,126,68,6,0,13,8,2,2,2,0,750,263,125,No
1,87,17,4,0,9,7,2,8,7,2,335,134,83,No
1,116,19,4,0,4,2,1,4,2,1,652,366,163,No
1,86,11,3,0,2,2,0,2,2,0,286,159,95,No
1,57,35,6,0,12,6,2,11,6,1,750,263,125,No
1,226,110,7,0,20,8,2,13,8,1,765,263,109,Yes
1,138,47,5,0,15,10,3,1,10,0,342,132,68,Yes
1,79,11,3,0,2,2,0,2,2,0,286,159,95,No
1,56,15,4,0,3,2,0,2,2,0,620,334,155,No
1,83,11,3,0,2,2,0,2,2,0,286,159,95,No
1,56,15,4,0,3,2,0,2,2,0,620,334,155,No
1,116,73,7,0,22,11,3,18,9,2,765,263,109,Yes
1,39,9,3,0,2,2,0,2,2,0,286,159,95,No
1,54,10,3,0,2,2,0,2,2,0,286,159,95,No
1,31,8,3,0,2,2,0,2,2,0,286,159,95,No
1,35,8,3,0,2,2,0,2,2,0,286,159,95,No
1,96,8,3,0,2,2,0,2,2,0,286,159,95,No
1,70,11,3,0,2,2,0,2,2,0,286,159,95,No
1,39,9,3,0,2,2,0,2,2,0,286,159,95,No
1,62,12,3,0,2,2,0,2,2,0,286,159,95,No
1,77,11,3,0,2,2,0,2,2,0,286,159,95,No
1,133,1,3,0,0,0,0,0,0,0,391,216,130,No
1,150,1,3,0,0,0,0,0,0,0,391,216,130,No
1,89,8,3,0,4,4,1,4,4,1,530,314,176,No
1,84,8,4,0,4,4,1,4,4,1,556,216,139,No
1,211,1,3,0,0,0,0,0,0,0,391,216,130,No
1,526,48,4,0,23,23,5,23,23,5,556,216,139,No
1,89,1,3,0,0,0,0,0,0,0,391,216,130,No
1,834,2,3,0,0,0,0,0,0,0,391,216,130,No
1,458,1,3,0,0,0,0,0,0,0,391,216,130,No
1,100,1,3,0,0,0,0,0,0,0,391,216,130,No
1,152,1,3,0,0,0,0,0,0,0,391,216,130,No
1,63,6,4,0,3,3,0,3,3,0,556,216,139,No
1,44,1,3,0,0,0,0,0,0,0,391,216,130,No
1,108,7,3,0,0,0,0,0,0,0,391,216,130,No
1,36,1,3,0,0,0,0,0,0,0,391,216,130,No
1,56,1,3,0,0,0,0,0,0,0,391,216,130,No
1,42,1,3,0,0,0,0,0,0,0,391,216,130,No
1,100,1,3,0,0,0,0,0,0,0,391,216,130,No
1,76,7,4,0,2,2,0,2,2,0,556,216,139,No
1,41,1,3,0,0,0,0,0,0,0,391,216,130,No
1,36,1,3,0,0,0,0,0,0,0,391,216,130,No
1,40,1,3,0,0,0,0,0,0,0,391,216,130,No
1,102,2,3,0,0,0,0,0,0,0,391,216,130,No
1,509,4,4,0,0,0,0,0,0,0,556,216,139,No
1,48,1,3,0,0,0,0,0,0,0,391,216,130,No
1,143,1,3,0,0,0,0,0,0,0,391,216,130,No
1,107,1,3,0,0,0,0,0,0,0,391,216,130,No
1,211,1,3,0,0,0,0,0,0,0,391,216,130,No
1,152,4,4,0,3,3,0,3,3,0,690,299,172,Yes
1,40,1,3,0,0,0,0,0,0,0,391,216,130,No
1,46,1,3,0,0,0,0,0,0,0,391,216,130,No
1,49,1,3,0,0,0,0,0,0,0,391,216,130,No
1,34,1,3,0,0,0,0,0,0,0,391,216,130,No
1,99,1,3,0,0,0,0,0,0,0,391,216,130,No
1,118,1,3,0,0,0,0,0,0,0,391,216,130,No
